Country,Year,Household_Size,Real_GDP_Per_Capita,Train_Transport_Pct,Bus_Transport_Pct,Urban_Population_Pct,All_Transport_Pct,Fuel_Price_Index,Car_Stock,Population,EPS_Index,Surface_Area_km2,Railway_1890,Railway_1895,Railway_1900,Railway_1905,Railway_1910,Size_Dummy
Hungary,2019,2.4,14980.0,8.4,18.6,71.644,27.1,129.40791666666667,3812013.0,9700272,2.75,93025.0,,,,,,1
Hungary,2020,2.4,14370.0,6.0,15.3,71.942,21.2,121.44791666666667,3920799.0,9689376,2.8055556,93025.0,,,,,,1
Hungary,2021,2.3,15470.0,6.4,14.3,72.245,20.7,149.14583333333334,4020159.0,9651461,2.8055556,93025.0,,,,,,1
Hungary,2022,2.3,16160.0,8.2,15.6,72.552,23.8,169.11791666666667,4094129.0,9610403,2.8055556,93025.0,,,,,,1
Hungary,2023,2.3,16050.0,10.0,14.5,72.864,24.5,204.32416666666666,4168651.0,9599744,2.8055556,93025.0,,,,,,1
Hungary,2024,2.3,16190.0,10.0,14.5,73.179,24.5,204.44291666666666,4263067.0,9584627,2.8055556,93025.0,,,,,,1
Germany,2003,2.1,34960.0,7.2,6.8,75.577,13.9,98.65,45023000.0,82536680,2.6666667,357581.0,,,,,,1
Germany,2004,2.1,35400.0,7.5,6.7,75.779,14.2,104.04166666666667,45376000.0,82531671,2.7777777,357581.0,,,,,,1
Germany,2005,2.1,35770.0,7.5,6.7,75.98,14.2,116.72500000000001,46090000.0,82500849,2.8888888,357581.0,,,,,,1
Germany,2006,2.1,37230.0,7.8,6.6,76.179,14.4,124.38055555555555,46570000.0,82437995,2.9444444,357581.0,,,,,,1
Germany,2007,2.1,38390.0,7.8,6.5,76.378,14.3,128.13888888888889,41184000.0,82314906,2.7777777,357581.0,,,,,,1
Germany,2008,2.1,38840.0,8.1,6.3,76.575,14.4,142.4138888888889,41321000.0,82217837,3.0277777,357581.0,,,,,,1
Germany,2009,2.0,36810.0,7.9,6.1,76.771,14.0,120.28055555555557,41738000.0,82002356,3.1388888,357581.0,,,,,,1
Germany,2010,2.0,38430.0,8.0,6.0,76.966,14.0,136.3,42302000.0,81802257,3.0833333,357581.0,,,,,,1
Germany,2011,2.0,39880.0,8.4,7.3,77.16,15.7,155.10000000000002,42928000.0,80222065,3.1666667,357581.0,,,,,,1
Germany,2012,2.0,40010.0,8.8,7.1,77.17,15.8,164.99444444444444,43431000.0,80327900,3.0555556,357581.0,,,,,,1
Germany,2013,2.0,40100.0,8.3,7.2,77.18,15.5,158.24444444444444,43851000.0,80523746,3.2222223,357581.0,,,,,,1
